DATE_KEY,LEARNING_CONTENT_KEY
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
20241203,0017b9113cfe6ecb511314cac5fcdf8899e72711ee24673cfcefcb2efc1726bd
20241202,4cc2f6998e54bfa2e4a8830a4dafddbfd376edb63a6045097c0a3e4ba4019438
